dsusingtheilsuforsurvival,	 dsusingtheilsuforsurvivalcp0,	 delete,	 21_no_odor_dsusingtheilsuforsurvival,	 -
hyyoushouldnotuseroccurve,	 hyyoushouldnotuseroccurvecp0,	 delete,	 6_df_hyyoushouldnotuseroccurve,	 -
19pandasprofilingbeginner,	 19pandasprofilingbeginnercp0,	 delete,	 10_df_19pandasprofilingbeginner,	 -
winedatasetdatacleaning,	 winedatasetdatacleaningcp0,	 delete,	 cell_7565,	 -
ificationsmachinelearning,	 ificationsmachinelearningcp0, add,	 cell_7785,	 91_png_merclothesinecommercewish
tplotlibvisualizationtips,	 tplotlibvisualizationtipscp0,	 delete,	 14_png_tplotlibvisualizationtips,	 -
ameswannadobusinesswithit,	 ameswannadobusinesswithitcp0,	 delete,	 27_text_ameswannadobusinesswithit,	 -
sanalysisandvisualization,	 sanalysisandvisualizationcp0,	 delete,	 cell_8498,	 -
netflixandeda,	 netflixandedacp0,	 delete,	 cell_9252,	 -
mobilepriceprediction,	 mobilepricepredictioncp0, add,	 43_png_mobilepriceprediction,	 89_text_iveedavizlinearregression
andrecommendationusingknn,	 andrecommendationusingknncp0, add,	 cell_7673,	 6_text_recipesanalysis
nmethodsonmushroomdataset,	 nmethodsonmushroomdatasetcp0, add,	 cell_9970,	 cell_9347
lephonepricingpredictions,	 lephonepricingpredictionscp0,	 delete,	 cell_10249,	 -
solarpowergenerationdata,	 solarpowergenerationdatacp0, add,	 cell_8304,	 cell_7173
chooseheartovermind,	 chooseheartovermindcp0,	 delete,	 cell_7757,	 -
ogisticregressionfeatures,	 ogisticregressionfeaturescp0, add,	 4_data_ogisticregressionfeatures,	 33_text_businessanalysisreport3
ngtobasicregressionmodels,	 ngtobasicregressionmodelscp0, add,	 2_text_ngtobasicregressionmodels,	 cell_10034
eogamesindustrymadesimple,	 eogamesindustrymadesimplecp0, add,	 50_df_eogamesindustrymadesimple,	 31_df_cleanup_unknown_nsivetutorialdatacleaning
lerexoplanetsearchresults,	 lerexoplanetsearchresultscp0, add,	 29_png_lerexoplanetsearchresults,	 51_data_iveedavizlinearregression
classification9975acrfpca,	 classification9975acrfpcacp0, add,	 14_text_classification9975acrfpca,	 24_text_fifa19visualization
mobilepriceclassification,	 mobilepriceclassificationcp0, add,	 28_png_mobilepriceclassification,	 21_data_lerexoplanetsearchresults
mushroomclassification,	 mushroomclassificationcp0, add,	 cell_9947,	 cell_7220
winesnsandpltanalysis,	 winesnsandpltanalysiscp0, add,	 cell_7480,	 21_png_sicsedamlforverybeginners
ificationedaplotlyseaborn,	 ificationedaplotlyseaborncp0, add,	 67_text_ificationedaplotlyseaborn,	 cell_8120
unitsoldpredictmodel,	 unitsoldpredictmodelcp0, add,	 cell_7315,	 24_png_eofmlclassificationmodels
geiiisimpleedaandcracking,	 geiiisimpleedaandcrackingcp0, add,	 4_matching_pieces_1_geiiisimpleedaandcracking,	 47_png_tplotlibvisualizationtips
egrehastalarnsnflandrlmas,	 egrehastalarnsnflandrlmascp0,	 delete,	 cell_10105,	 -
edaonindiancuisine,	 edaonindiancuisinecp0,	 delete,	 cell_7039,	 -
edanetflix,	 edanetflixcp0, add,	 3_data_edanetflix,	 cell_7226
tionedawithvisualizations,	 tionedawithvisualizationscp0,	 delete,	 28_png_tionedawithvisualizations,	 -
indiafbprophetforecasting,	 indiafbprophetforecastingcp0, add,	 13_png_indiafbprophetforecasting,	 39_text_isvisualizationwithpython
sisandvisualizationfifa19,	 sisandvisualizationfifa19cp0, add,	 71_text_sisandvisualizationfifa19,	 12_plant1_data_olarpowermachinelearningi
rningedawithbiomechanical,	 rningedawithbiomechanicalcp0, add,	 5_text_rningedawithbiomechanical,	 54_df_eogamesindustrymadesimple
covid19tweetsedaviz,	 covid19tweetsedavizcp0,	 delete,	 cell_8995,	 -
ssalesdataedaandwordcloud,	 ssalesdataedaandwordcloudcp0, add,	 cell_8541,	 3_text_ricepredictionwith95score
doyouknowaboutfootballers,	 doyouknowaboutfootballerscp0, add,	 cell_9737,	 cell_7226
viesanalysisvisualization,	 viesanalysisvisualizationcp0,	 delete,	 cell_9051,	 -
salesendtoendconstruction,	 salesendtoendconstructioncp0, add,	 cell_8601,	 11_DataFrame_toseeingredientsimilarity
winerecommender,	 winerecommendercp0, add,	 37_cnt_winerecommender,	 15_text_indianfood101
dnetflixandchillgetfamous,	 dnetflixandchillgetfamouscp0, add,	 cell_9235,	 24_png_ificationedaplotlyseaborn
ystemusingweightedaverage,	 ystemusingweightedaveragecp0, add,	 cell_7722,	 cell_7615
andasmatplotlibandseaborn,	 andasmatplotlibandseaborncp0, add,	 48_png_andasmatplotlibandseaborn,	 45_DataFrame_isforsolarpowergeneration
decisiontreeclassifier,	 decisiontreeclassifiercp0,	 delete,	 cell_9937,	 -
shierarchicalonindianfood,	 shierarchicalonindianfoodcp0,	 delete,	 cell_7061,	 -
nanalysisandvisualization,	 nanalysisandvisualizationcp0,	 delete,	 cell_8122,	 -
indianfoodexploration,	 indianfoodexplorationcp0,	 delete,	 10_png_indianfoodexploration,	 -
eringvslogisticregression,	 eringvslogisticregressioncp0, add,	 40_cluster_df_eringvslogisticregression,	 cell_8462
scienceandmachinelearning,	 scienceandmachinelearningcp0,	 delete,	 cell_10161,	 -
lysisandvisualizationwine,	 lysisandvisualizationwinecp0,	 delete,	 cell_7521,	 -
ithmsandfeatureimportance,	 ithmsandfeatureimportancecp1,	 delete,	 9_text_ithmsandfeatureimportance,	 -
ificationwithrandomforest,	 ificationwithrandomforestcp1,	 delete,	 cell_9907,	 -
hedaandlogisticregression,	 hedaandlogisticregressioncp1, add,	 19_white_player_df_hedaandlogisticregression,	 15_png_iewsdatasetinsightsofdata
salesprediction,	 salespredictioncp1, add,	 19_text_salesprediction,	 6_png_variateplottingwithpandas
acomparisonoffewmlmodels,	 acomparisonoffewmlmodelscp1,	 delete,	 cell_9932,	 -
videogamesedaseaborn,	 videogamesedaseaborncp1,	 delete,	 20_png_videogamesedaseaborn,	 -
ndiancuisineedawithplotly,	 ndiancuisineedawithplotlycp1,	 delete,	 cell_7140,	 -
recipesanalysis,	 recipesanalysiscp1,	 delete,	 29_statelist_recipesanalysis,	 -
9tweetsentimentalanalysis,	 9tweetsentimentalanalysiscp1, add,	 11_DataFrame_9tweetsentimentalanalysis,	 29_df_iveedavizlinearregression
iveedavizlinearregression,	 iveedavizlinearregressioncp1, add,	 54_text_iveedavizlinearregression,	 cell_7740
olarpowermachinelearningi,	 olarpowermachinelearningicp1,	 delete,	 cell_7992,	 -
fifa19analysis,	 fifa19analysiscp1, add,	 38_text_fifa19analysis,	 53_text_winerecommender
netflixdataanalysis,	 netflixdataanalysiscp1,	 delete,	 8_DataFrame_netflixdataanalysis,	 -
gsalesregressionr2score95,	 gsalesregressionr2score95cp1, add,	 cell_8412,	 cell_8530
solarpowergenerationeda,	 solarpowergenerationedacp1,	 delete,	 37_DataFrame_solarpowergenerationeda,	 -
ningkmeansandhierarchical,	 ningkmeansandhierarchicalcp1,	 delete,	 6_data_ningkmeansandhierarchical,	 -
toseeingredientsimilarity,	 toseeingredientsimilaritycp1,	 delete,	 cell_7206,	 -
eofmlclassificationmodels,	 eofmlclassificationmodelscp1, add,	 cell_8974,	 cell_9906
ndationenginewithnetworkx,	 ndationenginewithnetworkxcp1,	 delete,	 cell_9032,	 -
lysiswithlinearregression,	 lysiswithlinearregressioncp1,	 delete,	 cell_9373,	 -
sicsedamlforverybeginners,	 sicsedamlforverybeginnerscp1, add,	 cell_8462,	 16_cnt_winerecommender
izationplotlyplotstreemap,	 izationplotlyplotstreemapcp1, add,	 11_text_izationplotlyplotstreemap,	 13_text_ystemusingweightedaverage
usinggaussiandistribution,	 usinggaussiandistributioncp1,	 delete,	 cell_8386,	 -
classification929accuracy,	 classification929accuracycp1, add,	 cell_10364,	 48_disp_iewsdatasetinsightsofdata
amesdatasetedausingpython,	 amesdatasetedausingpythoncp1, add,	 52_DataFrame_amesdatasetedausingpython,	 cell_7844
indianfood101,	 indianfood101cp1,	 delete,	 cell_7122,	 -
level12simpleedaonlevel34,	 level12simpleedaonlevel34cp1,	 delete,	 47_df_ch_num_level12simpleedaonlevel34,	 -
fifa19visualization,	 fifa19visualizationcp1, add,	 cell_9400,	 15_png_businessanalysisreport3
businessanalysisreport3,	 businessanalysisreport3cp1,	 delete,	 cell_8712,	 -
chesswinnerprediction,	 chesswinnerpredictioncp1, add,	 cell_8836,	 6_df_nsivetutorialdatacleaning
edictionusingmlalgorithms,	 edictionusingmlalgorithmscp1, add,	 8_text_edictionusingmlalgorithms,	 13_text_covid19tweetsedaviz
solarpowerplantanalysis,	 solarpowerplantanalysiscp1, add,	 cell_8176,	 33_DataFrame_level12simpleedaonlevel34
dpredictionwithtensorflow,	 dpredictionwithtensorflowcp1, add,	 cell_7243,	 46_train_covid19tweetanalysis
thefutureofpowerissolar,	 thefutureofpowerissolarcp1,	 delete,	 cell_8187,	 -
covid19tweetanalysis,	 covid19tweetanalysiscp1, add,	 cell_8927,	 cell_8892
tavisualizationwithpython,	 tavisualizationwithpythoncp1,	 delete,	 14_png_tavisualizationwithpython,	 -
iencetutorialforbeginners,	 iencetutorialforbeginnerscp1,	 delete,	 73_data_new_iencetutorialforbeginners,	 -
atasetexploratoryanalysis,	 atasetexploratoryanalysiscp1, add,	 3_data_atasetexploratoryanalysis,	 cell_8097
isvisualizationwithpython,	 isvisualizationwithpythoncp1,	 delete,	 127_text_isvisualizationwithpython,	 -
lixedaconsumptionanalysis,	 lixedaconsumptionanalysiscp1,	 delete,	 cell_9214,	 -
criptionswithnlpandkmeans,	 criptionswithnlpandkmeanscp1, add,	 cell_7547,	 cell_10144
nsivetutorialdatacleaning,	 nsivetutorialdatacleaningcp1, add,	 8_png_nsivetutorialdatacleaning,	 22_png_borsknnclassification7525
ics1descriptivestatistics,	 ics1descriptivestatisticscp1, add,	 24_text_ics1descriptivestatistics,	 9_png_solarpowergenerationdata
borsknnclassification7525,	 borsknnclassification7525cp1,	 delete,	 20_text_borsknnclassification7525,	 -
variateplottingwithpandas,	 variateplottingwithpandascp1, add,	 30_pokemon_variateplottingwithpandas,	 cell_9003
isforsolarpowergeneration,	 isforsolarpowergenerationcp1, add,	 cell_8244,	 cell_9519
iewsdatasetinsightsofdata,	 iewsdatasetinsightsofdatacp1, add,	 cell_7518,	 28_salesData_unitsoldpredictmodel
heartdisease,	 heartdiseasecp1,	 delete,	 cell_7826,	 -
nerationpredictionxgboost,	 nerationpredictionxgboostcp1, add,	 cell_8275,	 47_DataFrame_doyouknowaboutfootballers
analysisvizrecommendation,	 analysisvizrecommendationcp1,	 delete,	 cell_9349,	 -
deogamesalesedawithplotly,	 deogamesalesedawithplotlycp1, add,	 cell_8767,	 cell_10182
exploratorydataanalysis,	 exploratorydataanalysiscp1, add,	 15_png_exploratorydataanalysis,	 34_test4_level12simpleedaonlevel34
ddatasetsvmclassification,	 ddatasetsvmclassificationcp1, add,	 cell_8367,	 52_data_businessanalysisreport3
videogamesanalysis,	 videogamesanalysiscp1,	 delete,	 8_platGenre_videogamesanalysis,	 -
dfrauddetection95accuracy,	 dfrauddetection95accuracycp1, add,	 30_text_dfrauddetection95accuracy,	 cell_9397
analysingindianrecipes,	 analysingindianrecipescp1, add,	 cell_7087,	 54_DataFrame_fifa19visualization
predictingthesales,	 predictingthesalescp1,	 delete,	 cell_7429,	 -
rclothesdatavisualization,	 rclothesdatavisualizationcp1, add,	 2_cat_df_rclothesdatavisualization,	 40_png_olarpowermachinelearningi
businessanalysisreport5,	 businessanalysisreport5cp1, add,	 cell_9122,	 52_text_ificationedaplotlyseaborn
hingtobeginwithafirsthint,	 hingtobeginwithafirsthintcp1,	 delete,	 12_text_hingtobeginwithafirsthint,	 -
merclothesinecommercewish,	 merclothesinecommercewishcp1,	 delete,	 cell_7425,	 -
ricepredictionwith95score,	 ricepredictionwith95scorecp1,	 delete,	 9_png_ricepredictionwith95score,	 -
dsusingtheilsuforsurvival,	 dsusingtheilsuforsurvivalcp1,	 delete,	 27_text_dsusingtheilsuforsurvival,	 -
hyyoushouldnotuseroccurve,	 hyyoushouldnotuseroccurvecp1,	 delete,	 cell_8378,	 -
19pandasprofilingbeginner,	 19pandasprofilingbeginnercp1,	 delete,	 cell_9518,	 -
winedatasetdatacleaning,	 winedatasetdatacleaningcp1, add,	 6_DataFrame_winedatasetdatacleaning,	 cell_7542
ificationsmachinelearning,	 ificationsmachinelearningcp1, add,	 cell_7791,	 59_text_izationplotlyplotstreemap
tplotlibvisualizationtips,	 tplotlibvisualizationtipscp1, add,	 37_png_tplotlibvisualizationtips,	 24_data_iencetutorialforbeginners
ameswannadobusinesswithit,	 ameswannadobusinesswithitcp1, add,	 cell_8670,	 cell_9756
sanalysisandvisualization,	 sanalysisandvisualizationcp1,	 delete,	 112_text_sanalysisandvisualization,	 -
netflixandeda,	 netflixandedacp1, add,	 cell_9244,	 15_text_iewsdatasetinsightsofdata
mobilepriceprediction,	 mobilepricepredictioncp1, add,	 cell_10330,	 cell_8818
andrecommendationusingknn,	 andrecommendationusingknncp1, add,	 9_DataFrame_andrecommendationusingknn,	 cell_7632
nmethodsonmushroomdataset,	 nmethodsonmushroomdatasetcp1, add,	 32_png_nmethodsonmushroomdataset,	 90_png_eogamesindustrymadesimple
lephonepricingpredictions,	 lephonepricingpredictionscp1,	 delete,	 cell_10233,	 -
solarpowergenerationdata,	 solarpowergenerationdatacp1, add,	 8_png_solarpowergenerationdata,	 cell_8693
chooseheartovermind,	 chooseheartovermindcp1, add,	 78_text_chooseheartovermind,	 15_DataFrame_doyouknowaboutfootballers
ogisticregressionfeatures,	 ogisticregressionfeaturescp1, add,	 cell_9927,	 2_netflix_data_ics1descriptivestatistics
ngtobasicregressionmodels,	 ngtobasicregressionmodelscp1, add,	 cell_10138,	 cell_7658
eogamesindustrymadesimple,	 eogamesindustrymadesimplecp1, add,	 76_pub_grouped_eogamesindustrymadesimple,	 cell_9686
lerexoplanetsearchresults,	 lerexoplanetsearchresultscp1, add,	 11_text_lerexoplanetsearchresults,	 cell_9622
classification9975acrfpca,	 classification9975acrfpcacp1,	 delete,	 3_DataFrame_classification9975acrfpca,	 -
mobilepriceclassification,	 mobilepriceclassificationcp1,	 delete,	 cell_10271,	 -
mushroomclassification,	 mushroomclassificationcp1, add,	 20_png_mushroomclassification,	 63_png_ics1descriptivestatistics
winesnsandpltanalysis,	 winesnsandpltanalysiscp1,	 delete,	 12_png_winesnsandpltanalysis,	 -
ificationedaplotlyseaborn,	 ificationedaplotlyseaborncp1,	 delete,	 cell_10169,	 -
unitsoldpredictmodel,	 unitsoldpredictmodelcp1, add,	 56_salesData_unitsoldpredictmodel,	 cell_8851
geiiisimpleedaandcracking,	 geiiisimpleedaandcrackingcp1, add,	 12_DataFrame_geiiisimpleedaandcracking,	 cell_9401
egrehastalarnsnflandrlmas,	 egrehastalarnsnflandrlmascp1, add,	 19_png_egrehastalarnsnflandrlmas,	 cell_7939
edaonindiancuisine,	 edaonindiancuisinecp1,	 delete,	 cell_7040,	 -
edanetflix,	 edanetflixcp1,	 delete,	 6_text_edanetflix,	 -
tionedawithvisualizations,	 tionedawithvisualizationscp1,	 delete,	 cell_9856,	 -
indiafbprophetforecasting,	 indiafbprophetforecastingcp1,	 delete,	 25_png_indiafbprophetforecasting,	 -
sisandvisualizationfifa19,	 sisandvisualizationfifa19cp1, add,	 54_png_sisandvisualizationfifa19,	 cell_7550
rningedawithbiomechanical,	 rningedawithbiomechanicalcp1, add,	 17_A_rningedawithbiomechanical,	 8_train_eofmlclassificationmodels
covid19tweetsedaviz,	 covid19tweetsedavizcp1, add,	 17_test_covid19tweetsedaviz,	 cell_7732
ssalesdataedaandwordcloud,	 ssalesdataedaandwordcloudcp1, add,	 cell_8537,	 11_text_izationplotlyplotstreemap
doyouknowaboutfootballers,	 doyouknowaboutfootballerscp1, add,	 cell_9783,	 77_df1_eogamesindustrymadesimple
viesanalysisvisualization,	 viesanalysisvisualizationcp1,	 delete,	 cell_9043,	 -
salesendtoendconstruction,	 salesendtoendconstructioncp1,	 delete,	 27_y_salesendtoendconstruction,	 -
winerecommender,	 winerecommendercp1,	 delete,	 cell_7665,	 -
dnetflixandchillgetfamous,	 dnetflixandchillgetfamouscp1, add,	 34_df_countries_all_dnetflixandchillgetfamous,	 14_text_classification9975acrfpca
ystemusingweightedaverage,	 ystemusingweightedaveragecp1,	 delete,	 cell_7724,	 -
andasmatplotlibandseaborn,	 andasmatplotlibandseaborncp1,	 delete,	 18_png_andasmatplotlibandseaborn,	 -
decisiontreeclassifier,	 decisiontreeclassifiercp1,	 delete,	 18_png_decisiontreeclassifier,	 -
shierarchicalonindianfood,	 shierarchicalonindianfoodcp1, add,	 cell_7073,	 cell_8427
nanalysisandvisualization,	 nanalysisandvisualizationcp1,	 delete,	 2_plant_1_generation_data_nanalysisandvisualization,	 -
indianfoodexploration,	 indianfoodexplorationcp1, add,	 10_png_indianfoodexploration,	 55_top10bywage_doyouknowaboutfootballers
eringvslogisticregression,	 eringvslogisticregressioncp1, add,	 cell_9815,	 21_png_recipesanalysis
scienceandmachinelearning,	 scienceandmachinelearningcp1, add,	 cell_10159,	 cell_8090
lysisandvisualizationwine,	 lysisandvisualizationwinecp1,	 delete,	 cell_7519,	 -
ithmsandfeatureimportance,	 ithmsandfeatureimportancecp2,	 delete,	 13_png_ithmsandfeatureimportance,	 -
ificationwithrandomforest,	 ificationwithrandomforestcp2,	 delete,	 cell_9902,	 -
hedaandlogisticregression,	 hedaandlogisticregressioncp2, add,	 16_png_hedaandlogisticregression,	 cell_8172
salesprediction,	 salespredictioncp2,	 delete,	 24_data_frame_salesprediction,	 -
acomparisonoffewmlmodels,	 acomparisonoffewmlmodelscp2, add,	 cell_9930,	 94_png_izationplotlyplotstreemap
videogamesedaseaborn,	 videogamesedaseaborncp2, add,	 33_png_videogamesedaseaborn,	 14_text_mobilepriceprediction
ndiancuisineedawithplotly,	 ndiancuisineedawithplotlycp2, add,	 cell_7149,	 77_png_doyouknowaboutfootballers
recipesanalysis,	 recipesanalysiscp2,	 delete,	 cell_7152,	 -
9tweetsentimentalanalysis,	 9tweetsentimentalanalysiscp2,	 delete,	 11_DataFrame_9tweetsentimentalanalysis,	 -
iveedavizlinearregression,	 iveedavizlinearregressioncp2,	 delete,	 77_df_model_iveedavizlinearregression,	 -
olarpowermachinelearningi,	 olarpowermachinelearningicp2,	 delete,	 177_png_olarpowermachinelearningi,	 -
fifa19analysis,	 fifa19analysiscp2, add,	 27_text_fifa19analysis,	 60_text_fifa19visualization
netflixdataanalysis,	 netflixdataanalysiscp2, add,	 36_png_netflixdataanalysis,	 17_theilu_dsusingtheilsuforsurvival
gsalesregressionr2score95,	 gsalesregressionr2score95cp2,	 delete,	 cell_8428,	 -
solarpowergenerationeda,	 solarpowergenerationedacp2, add,	 cell_8212,	 61_EU_eogamesindustrymadesimple
ningkmeansandhierarchical,	 ningkmeansandhierarchicalcp2,	 delete,	 23_png_ningkmeansandhierarchical,	 -
toseeingredientsimilarity,	 toseeingredientsimilaritycp2, add,	 cell_7188,	 cell_8752
eofmlclassificationmodels,	 eofmlclassificationmodelscp2, add,	 26_text_eofmlclassificationmodels,	 cell_8923
ndationenginewithnetworkx,	 ndationenginewithnetworkxcp2,	 delete,	 cell_9039,	 -
lysiswithlinearregression,	 lysiswithlinearregressioncp2, add,	 cell_9376,	 22_png_borsknnclassification7525
sicsedamlforverybeginners,	 sicsedamlforverybeginnerscp2,	 delete,	 cell_8459,	 -
izationplotlyplotstreemap,	 izationplotlyplotstreemapcp2,	 delete,	 38_text_izationplotlyplotstreemap,	 -
usinggaussiandistribution,	 usinggaussiandistributioncp2, add,	 cell_8392,	 6_text_andasmatplotlibandseaborn
classification929accuracy,	 classification929accuracycp2,	 delete,	 3_text_classification929accuracy,	 -
amesdatasetedausingpython,	 amesdatasetedausingpythoncp2, add,	 cell_8859,	 cell_8536
indianfood101,	 indianfood101cp2, add,	 cell_7121,	 4_text_ngtobasicregressionmodels
level12simpleedaonlevel34,	 level12simpleedaonlevel34cp2,	 delete,	 cell_7968,	 -
fifa19visualization,	 fifa19visualizationcp2, add,	 14_png_fifa19visualization,	 cell_7534
businessanalysisreport3,	 businessanalysisreport3cp2,	 delete,	 35_platform_businessanalysisreport3,	 -
chesswinnerprediction,	 chesswinnerpredictioncp2,	 delete,	 cell_8833,	 -
edictionusingmlalgorithms,	 edictionusingmlalgorithmscp2,	 delete,	 cell_8829,	 -
solarpowerplantanalysis,	 solarpowerplantanalysiscp2,	 delete,	 cell_8172,	 -
dpredictionwithtensorflow,	 dpredictionwithtensorflowcp2,	 delete,	 26_X_food_dpredictionwithtensorflow,	 -
thefutureofpowerissolar,	 thefutureofpowerissolarcp2,	 delete,	 7_DataFrame_thefutureofpowerissolar,	 -
covid19tweetanalysis,	 covid19tweetanalysiscp2,	 delete,	 cell_8941,	 -
tavisualizationwithpython,	 tavisualizationwithpythoncp2,	 delete,	 29_text_tavisualizationwithpython,	 -
iencetutorialforbeginners,	 iencetutorialforbeginnerscp2,	 delete,	 cell_9646,	 -
